STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/25/75,,,,,,,0.27,",,0,0700",0,",,0,",0,",,0,",38,",,0",28,",,0",37,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/26/75,,,,,,,0.16,",,0,0700",0,",,0,",0,",,0,",38,",,0",28,",,0",29,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/27/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",29,",,0",19,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/28/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",31,",,0",19,",,0",28,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/29/75,,,,,,,0.25,",,0,0700",0,",,0,",0,",,0,",34,",,0",27,",,0",32,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/30/75,,,,,,,0.13,",,0,0700",0,",,0,",0,",,0,",36,",,0",19,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,1/31/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",30,",,0",20,",,0",25,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/1/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",30,",,0",21,",,0",21,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/2/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",33,",,0",17,",,0",20,",,0,0700",,,,,,,,,,,,,,
USC00205662,"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,242.3,2/3/75,,,,,,,0,",,0,0700",0,",,0,",0,",,0,",32,",,0",16,",,0",19,",,0,0700",,,,,,,,,,,,,,
